Dealer_ID,Dealer_NM,Location_ID,Location_NM,Country_ID
DLR0001,AC Cars Motors,LOC002,Kandahar,CNTR001
DLR0002,Acura Motors,LOC004,Ayios Nikolaos,CNTR002
DLR0003,Aixam-Mega (including Arola) Motors,LOC006,Jomala,CNTR003
DLR0004,Alfa Romeo Motors,LOC008,Durrës,CNTR004
DLR0005,Alpine Motors,LOC010,Oran,CNTR005
DLR0006,Alvis Motors,LOC012,Nu'uuli,CNTR006
DLR0007,"AMC, Eagle Motors",LOC014,Escaldes-Engordany,CNTR007
DLR0008,Anadol Motors,LOC016,Huambo,CNTR008
DLR0009,Ariel Motors,LOC018,The Valley,CNTR009
DLR0010,ARO Motors,LOC020,All Saints,CNTR010
DLR0011,Artega Motors,LOC022,Córdoba,CNTR011
DLR0012,Asia Motors Motors,LOC024,Gyumri,CNTR012
DLR0013,Aston Martin Motors,LOC026,Shusha,CNTR013
DLR0014,Audi Motors,LOC028,Sint Nicolaas,CNTR014
DLR0015,Autobianchi Motors,LOC030,Melbourne,CNTR015
DLR0016,Auto-Union Motors,LOC032,Graz,CNTR016
DLR0017,Auverland Motors,LOC034,Ganja,CNTR017
DLR0018,Bentley Motors,LOC036,Freeport,CNTR018
DLR0019,Bitter Motors,LOC038,Riffa,CNTR019
DLR0020,BMW Motors,LOC040,Chittagong,CNTR020
DLR0021,Bond Motors,LOC042,Speightstown,CNTR021
DLR0022,Borgward (including Goliath and Lloyd) Motors,LOC044,Gomel,CNTR022
DLR0023,Bristol Motors,LOC046,Antwerp,CNTR023
DLR0024,British Leyland Motors,LOC048,San Ignacio,CNTR024
DLR0025,Austin-Healey Motors,LOC050,Abomey-Calavi,CNTR025
DLR0026,"Austin, Rover Motors",LOC052,Hamilton,CNTR026
DLR0027,Bugatti Motors,LOC054,Phuntsholing,CNTR027
DLR0028,Buick Motors,LOC056,El Alto,CNTR028
DLR0029,Bytom Motors,LOC058,Banja Luka,CNTR029
DLR0030,Cadillac Motors,LOC060,Francistown,CNTR030
DLR0031,Caterham Motors,LOC062,Rio de Janeiro,CNTR031
DLR0032,Checker Motors,LOC064,Kuala Belait,CNTR032
DLR0033,Chevrolet Motors,LOC066,Plovdiv,CNTR033
DLR0034,Chevrolet India Motors,LOC068,Bobo-Dioulasso,CNTR034
DLR0035,Chrysler Motors,LOC070,Muyinga,CNTR035
DLR0036,Chrysler Europe Motors,LOC072,Siem Reap,CNTR036
DLR0037,Citroën Motors,LOC074,Yaoundé,CNTR037
DLR0038,Cizeta-Moroder Motors,LOC076,Montreal,CNTR038
DLR0039,Dacia Motors,LOC078,Mindelo,CNTR039
DLR0040,"Daewoo, Saehan, Chevrolet Korea Motors",LOC080,Bodden Town,CNTR040
DLR0041,DAF Motors,LOC082,Bimbo,CNTR041
DLR0042,Daihatsu Motors,LOC084,Moundou,CNTR042
DLR0043,Daimler Motors,LOC086,Puente Alto,CNTR043
DLR0045,Delahaye Motors,LOC088,Beijing,CNTR045
DLR0046,DeLorean Motors,LOC090,Poon Saan,CNTR046
DLR0047,DeSoto Motors,LOC092,West Island,CNTR047
DLR0048,De Tomaso Motors,LOC094,Medellín,CNTR048
DLR0049,Dodge Motors,LOC096,Mutsamudu,CNTR049
DLR0050,Donkervoort Motors,LOC098,Lubumbashi,CNTR050
DLR0051,Edsel Motors,LOC100,Pointe-Noire,CNTR051
DLR0052,e.GO Mobile Motors,LOC102,Amuri,CNTR052
DLR0053,Eicher Polaris Motors,LOC104,Alajuela,CNTR053
DLR0054,Elva Motors,LOC106,Bouaké,CNTR054
DLR0055,Facel Vega Motors,LOC108,Split,CNTR055
DLR0056,Ferrari Motors,LOC110,Santiago de Cuba,CNTR056
DLR0057,Fiat Motors,LOC112,Sint Michiel,CNTR057
DLR0058,Fiat do Brasil Motors,LOC114,Limassol,CNTR058
DLR0059,Fiat India Motors,LOC116,Brno,CNTR059
DLR0060,"Fisker, Karma Motors",LOC118,Ostrava,CNTR060
DLR0061,Ford America Motors,LOC120,Aarhus,CNTR061
DLR0062,Ford Australia Motors,LOC122,Ali Sabieh,CNTR062
DLR0063,Ford do Brasil Motors,LOC124,Portsmouth,CNTR063
DLR0064,Ford Europe Motors,LOC126,Santiago de los Caballeros,CNTR064
DLR0065,Ford India Motors,LOC128,Dare,CNTR065
DLR0066,Freightliner Motors,LOC130,Guayaquil,CNTR066
DLR0067,FSO Motors,LOC132,Quito,CNTR067
DLR0068,GAZ Motors,LOC134,Alexandria,CNTR068
DLR0069,Geo Motors,LOC136,Santa Ana,CNTR069
DLR0070,Gilbern Motors,LOC138,Malabo,CNTR070
DLR0071,Ginetta Motors,LOC140,Keren,CNTR071
DLR0072,Glas Motors,LOC142,Tartu,CNTR072
DLR0073,GMC Motors,LOC144,Mbabane,CNTR073
DLR0074,GTA Spano Motors,LOC146,Dire Dawa,CNTR074
DLR0075,Gumpert Motors,LOC148,Mount Pleasant,CNTR075
DLR0076,Healey Motors,LOC150,Klaksvík,CNTR076
DLR0077,Heinkel Motors,LOC152,Suva,CNTR077
DLR0078,Hennessey Motors,LOC154,Espoo,CNTR078
DLR0079,Hillman Motors,LOC156,Tampere,CNTR078
DLR0080,Hindustan Motors,LOC158,Marseille,CNTR079
DLR0081,Holden Motors,LOC160,Lyon,CNTR079
DLR0082,Honda Motors,LOC162,Saint-Laurent-du-Maroni,CNTR080
DLR0083,Honda India Motors,LOC164,Faaa,CNTR081
DLR0084,Hudson Motors,LOC166,Port-Gentil,CNTR082
DLR0085,Humber Motors,LOC168,Brikama,CNTR083
DLR0086,Hummer Motors,LOC170,Batumi,CNTR084
DLR0087,Hyundai Motors,LOC172,Hamburg,CNTR085
DLR0088,"IFA (including Trabant, Wartburg, Barkas) Motors",LOC174,Berlin,CNTR085
DLR0089,Infiniti Motors,LOC176,Kumasi,CNTR086
DLR0091,Invicta Motors,LOC178,Thessaloniki,CNTR088
DLR0092,Isdera Motors,LOC180,Sisimiut,CNTR089
DLR0093,Iso Motors,LOC182,Gouyave,CNTR090
DLR0094,Isotta Fraschini Motors,LOC184,Yigo,CNTR091
DLR0095,Isuzu Motors,LOC186,Quetzaltenango,CNTR092
DLR0096,Iveco Motors,LOC188,Vale,CNTR093
DLR0097,Jaguar Motors,LOC190,Nzérékoré,CNTR094
DLR0098,Jeep Motors,LOC192,Gabú,CNTR095
DLR0099,Jensen Motors,LOC194,Linden,CNTR096
DLR0100,JPX Motors,LOC196,Gonaïves,CNTR097
DLR0101,Kia Motors,LOC198,San Pedro Sula,CNTR098
DLR0102,Koenigsegg Motors,LOC200,Debrecen,CNTR099
DLR0103,KTM Motors,LOC202,Kópavogur,CNTR100
DLR0104,Lada Motors,LOC204,Akureyri,CNTR100
DLR0105,Lamborghini Motors,LOC206,Delhi,CNTR101
DLR0106,Lancia Motors,LOC208,-,CNTR102
DLR0107,Land Rover Motors,LOC210,-,CNTR102
DLR0108,Lexus Motors,LOC212,-,CNTR102
DLR0109,Ligier Motors,LOC214,Mashhad,CNTR103
DLR0110,Lincoln Motors,LOC216,-,CNTR103
DLR0111,Lotus Motors,LOC218,Basra,CNTR104
DLR0112,LTI Motors,LOC220,Cork,CNTR105
DLR0113,LuAZ Motors,LOC222,Ramsey,CNTR106
DLR0114,Lynx Motors,LOC224,Tel Aviv,CNTR107
DLR0115,Mahindra Motors,LOC226,-,CNTR107
DLR0116,Marcos Motors,LOC228,Milan,CNTR108
