customer_id,country,age,gender,signup_year
1,Germany,47,Male,2021
2,France,40,Male,2023
3,UK,33,Male,2022
4,France,31,Male,2023
5,France,27,Male,2018
6,Canada,24,Female,2019
7,UK,62,Female,2018
8,UK,69,Male,2021
9,UK,54,Female,2022
10,France,46,Female,2023
11,Germany,20,Male,2021
12,UK,32,Male,2021
13,France,53,Female,2019
14,Canada,64,Female,2024
15,Germany,63,Female,2021
16,Canada,69,Female,2019
17,Germany,36,Male,2022
18,France,30,Female,2022
19,USA,59,Male,2023
20,Germany,38,Male,2024
21,Canada,54,Female,2019
22,France,44,Female,2018
23,Germany,72,Female,2022
24,USA,69,Male,2024
25,USA,46,Male,2023
26,UK,37,Male,2018
27,UK,42,Male,2022
28,Canada,23,Female,2022
29,Germany,53,Male,2023
30,Germany,19,Male,2023
31,UK,39,Female,2020
32,Germany,49,Male,2021
33,Germany,33,Male,2021
34,USA,35,Female,2018
35,UK,22,Male,2021
36,France,71,Male,2018
37,UK,53,Male,2024
38,France,47,Male,2022
39,USA,62,Female,2020
40,Canada,36,Male,2020
41,Germany,40,Female,2022
42,USA,51,Male,2023
43,Germany,30,Female,2019
44,Canada,60,Female,2019
45,Canada,71,Female,2021
46,USA,46,Male,2023
47,Canada,53,Male,2018
48,France,39,Male,2024
49,Canada,69,Female,2020
50,Germany,69,Male,2021
51,Germany,64,Male,2022
52,Germany,53,Male,2023
53,Germany,26,Male,2020
54,France,56,Female,2018
55,UK,68,Female,2018
56,USA,36,Male,2019
57,Germany,55,Male,2021
58,Canada,23,Male,2022
59,Germany,69,Female,2020
60,Canada,64,Male,2024
61,Canada,32,Female,2018
62,Germany,74,Female,2020
63,France,37,Male,2022
64,Canada,26,Male,2020
65,Canada,49,Male,2021
66,Germany,21,Female,2019
67,Canada,67,Female,2020
68,Canada,35,Male,2023
69,Germany,22,Female,2019
70,Germany,37,Male,2022
71,USA,40,Male,2019
72,France,28,Female,2020
73,France,54,Female,2020
74,Canada,39,Female,2023
75,France,21,Female,2018
76,Canada,46,Male,2023
77,USA,61,Male,2020
78,Germany,51,Male,2024
79,Germany,30,Female,2019
80,Germany,59,Male,2023
81,France,26,Female,2023
82,USA,59,Female,2024
83,France,48,Female,2024
84,France,24,Male,2024
85,USA,21,Female,2018
86,USA,36,Female,2020
87,USA,59,Female,2020
88,USA,47,Female,2022
89,Germany,48,Female,2018
90,UK,52,Female,2022
91,UK,74,Female,2022
92,USA,38,Female,2022
93,UK,48,Female,2021
94,UK,36,Female,2022
95,USA,48,Female,2023
96,UK,70,Female,2019
97,France,49,Male,2023
98,Canada,19,Male,2023
99,Canada,69,Female,2020
100,USA,27,Female,2021
101,Germany,19,Female,2022
102,USA,19,Male,2020
103,Germany,41,Male,2018
104,Canada,34,Male,2018
105,USA,49,Female,2020
106,France,33,Female,2019
