order_id,customer_id,order_amount,order_year,channel
1,1618,1044.89,2022,In-Store
2,3642,269.24,2019,In-Store
3,661,13.84,2022,Online
4,4165,158.85,2020,In-Store
5,320,140.07,2022,In-Store
6,2225,173.23,2020,In-Store
7,584,505.02,2022,In-Store
8,3601,275.31,2020,Online
9,582,59.44,2023,Online
10,3697,232.95,2023,Online
11,1768,371.05,2024,Online
12,1557,21.29,2024,In-Store
13,1799,94.59,2022,In-Store
14,4207,311.77,2021,Online
15,999,622.63,2021,Online
16,758,56.63,2023,Online
17,283,338.41,2019,In-Store
18,4897,509.06,2019,In-Store
19,131,117.21,2021,Online
20,1294,361.42,2022,Online
21,61,141.6,2021,Online
22,2212,182.47,2024,In-Store
23,1549,249.99,2023,In-Store
24,4368,468.36,2022,Online
25,1782,751.27,2023,In-Store
26,38,131.84,2021,In-Store
27,3632,79.14,2021,Online
28,2665,455.52,2023,Online
29,474,340.59,2022,Online
30,59,270.69,2022,In-Store
31,2637,380.59,2020,Online
32,2615,143.65,2023,Online
33,2615,272.94,2021,In-Store
34,5000,534.18,2023,In-Store
35,4479,118.35,2023,Online
36,1412,362.5,2019,In-Store
37,85,158.61,2020,In-Store
38,1534,442.56,2022,In-Store
39,3798,502.31,2019,In-Store
40,2675,186.65,2020,Online
41,2874,244.13,2019,In-Store
42,3121,101.89,2020,In-Store
43,1091,290.7,2020,In-Store
44,2835,54.63,2024,In-Store
45,4225,287.72,2023,In-Store
46,2077,323.52,2020,In-Store
47,3191,234.1,2021,In-Store
48,4788,109.87,2021,Online
49,4229,495.43,2021,In-Store
50,1209,109.01,2021,In-Store
51,3578,556.75,2019,Online
52,4742,229.7,2022,In-Store
53,2582,758.58,2022,In-Store
54,3788,396.11,2024,In-Store
55,516,114.11,2020,Online
56,2213,323.49,2022,In-Store
57,2975,372.22,2019,Online
58,933,247.38,2021,Online
59,1664,202.83,2021,In-Store
60,557,515.04,2021,Online
61,1672,100.29,2022,In-Store
62,993,224.49,2022,Online
63,1629,1487.77,2023,In-Store
64,1692,229.57,2023,Online
65,4853,224.45,2022,In-Store
66,1105,59.35,2024,Online
67,1271,496.57,2024,Online
68,2903,452.77,2024,In-Store
69,4745,160.01,2021,Online
70,1410,510.91,2022,Online
71,3647,146.59,2019,In-Store
72,1331,157.97,2023,Online
73,4724,227.4,2021,Online
74,2055,110.31,2023,Online
75,954,127.98,2024,Online
76,1843,341.13,2020,Online
77,2803,58.52,2020,Online
78,10,229.19,2020,In-Store
79,2610,330.71,2024,Online
80,122,302.33,2024,Online
81,4783,494.94,2022,In-Store
82,2561,66.89,2023,Online
83,3038,34.46,2019,In-Store
84,441,124.04,2023,Online
85,2750,635.09,2024,Online
86,591,180.58,2024,In-Store
87,1369,344.99,2021,Online
88,1990,330.99,2022,Online
89,1362,119.89,2023,Online
90,3774,67.67,2022,In-Store
91,2065,138.76,2022,Online
92,2416,282.69,2019,Online
93,2952,218.17,2021,In-Store
94,2769,236.89,2019,In-Store
95,3417,106.89,2024,Online
96,1577,224.75,2019,In-Store
97,115,55.51,2022,In-Store
98,1369,139.24,2022,Online
99,139,68.13,2019,Online
100,4924,229.87,2024,Online
101,4942,180.69,2020,In-Store
102,3374,123.84,2020,Online
103,1316,97.15,2019,In-Store
104,74,158.96,2022,Online
105,3847,129.9,2022,In-Store
106,484,263.92,2021,In-Store
107,4112,423.31,2022,Online
108,1550,314.64,2024,Online
109,1360,339.83,2023,In-Store
110,1897,12.22,2024,In-Store
111,4225,204.18,2023,In-Store
112,511,236.19,2022,Online
113,423,377.87,2019,In-Store
114,2433,403.97,2024,In-Store
115,1907,488.39,2024,In-Store
116,4328,132.16,2023,Online
117,959,145.44,2022,In-Store
118,825,9.44,2022,Online
119,65,76.21,2023,In-Store
120,4929,268.13,2022,In-Store
121,4711,239.66,2019,Online
122,3349,259.75,2024,Online
123,801,256.77,2020,In-Store
124,278,52.13,2024,In-Store
125,1718,414.4,2023,In-Store
126,2414,179.1,2023,In-Store
127,1239,235.65,2022,Online
128,4524,340.93,2019,Online
129,1487,663.5,2023,Online
130,4682,329.68,2022,In-Store
131,3299,106.23,2022,Online
132,4471,763.8,2024,In-Store
133,2996,207.47,2024,Online
134,93,214.31,2022,Online
135,3532,498.86,2021,Online
136,1841,68.4,2021,In-Store
137,3528,295.65,2019,Online
138,1622,363.22,2020,Online
139,1562,191.04,2021,Online
140,1417,360.88,2019,In-Store
141,2965,646.78,2022,Online
142,4191,41.84,2022,Online
143,1131,103.15,2020,Online
144,1414,19.89,2023,In-Store
145,3598,65.37,2021,In-Store
146,3745,167.49,2021,In-Store
147,2119,144.53,2022,In-Store
148,664,129.71,2019,Online
149,2635,495.15,2024,In-Store
150,2775,506.03,2020,Online
151,3970,584.64,2020,Online
152,3491,228.33,2023,In-Store
153,1572,902.77,2023,Online
154,1524,302.34,2024,In-Store
155,988,276.02,2019,Online
156,3239,292.5,2019,Online
157,3846,301.94,2020,Online
158,3694,153.01,2022,In-Store
159,99,336.29,2019,In-Store
160,2289,477.19,2024,In-Store
161,1515,34.16,2019,In-Store
162,4298,264.15,2023,Online
163,634,15.97,2023,In-Store
164,4842,420.13,2024,In-Store
165,4586,250.9,2023,Online
166,579,215.08,2022,In-Store
167,3960,10.64,2020,In-Store
168,273,135.52,2022,In-Store
169,4882,150.4,2023,Online
170,3955,411.87,2021,Online
171,3928,168.89,2021,In-Store
172,453,183.52,2020,In-Store
173,1176,393.13,2023,In-Store
174,4912,775.48,2024,In-Store
175,414,199.32,2023,Online
176,1551,553.03,2022,In-Store
177,4527,644.14,2020,In-Store
178,4991,58.45,2022,Online
179,1947,106.67,2024,In-Store
180,192,1027.84,2023,Online
181,41,403.02,2024,In-Store
182,1860,79.68,2019,In-Store
183,1333,581.72,2021,Online
184,3450,696.71,2023,In-Store
185,136,235.82,2019,In-Store
186,4202,366.95,2021,In-Store
187,4615,286.15,2019,In-Store
188,1942,531.3,2020,Online
189,1566,101.87,2019,In-Store
190,4222,141.87,2024,Online
191,389,410.18,2019,Online
192,1559,415.18,2020,In-Store
193,2122,409.4,2019,In-Store
194,1029,318.97,2021,Online
195,3535,475.27,2019,Online
196,82,589.75,2024,In-Store
197,776,539.36,2024,In-Store
198,3039,157.29,2019,In-Store
199,4374,191.68,2020,In-Store
200,2888,262.72,2021,In-Store
201,1879,110.87,2020,In-Store
202,2272,162.26,2019,Online
203,1608,236.05,2020,In-Store
204,3140,165.57,2024,In-Store
205,606,118.87,2020,In-Store
206,4736,185.46,2019,In-Store
207,3415,690.54,2019,Online
208,3666,728.76,2024,In-Store
209,2145,101.32,2024,In-Store
210,4271,49.01,2024,In-Store
211,3766,227.03,2023,In-Store
212,1377,70.97,2019,Online
213,3463,101.48,2019,In-Store
214,348,316.96,2023,Online
215,1,146.01,2021,In-Store
216,63,577.2,2023,Online
217,1784,129.2,2020,Online
218,3815,294.64,2023,Online
219,226,724.73,2024,In-Store
220,1043,145.41,2023,Online
221,845,58.12,2021,Online
222,2681,91.1,2022,In-Store
223,4120,652.88,2021,In-Store
224,1235,120.03,2023,In-Store
225,1985,71.85,2020,In-Store
226,4257,403.87,2020,Online
227,1279,69.33,2022,In-Store
228,1595,243.91,2019,Online
229,2552,59.49,2024,In-Store
230,1953,171.35,2024,Online
231,1696,497.19,2024,In-Store
232,955,138.67,2023,In-Store
233,3292,61.54,2019,In-Store
234,357,215.9,2020,In-Store
235,3596,328.98,2019,Online
236,969,193.7,2021,In-Store
237,242,743.79,2024,In-Store
238,3447,95.91,2021,In-Store
239,4235,154.79,2022,Online
240,2145,183.41,2019,In-Store
241,147,269.38,2022,In-Store
242,543,91.95,2021,In-Store
243,692,142.96,2024,In-Store
244,1026,135.99,2021,Online
245,4051,87.57,2022,In-Store
246,4006,182.67,2021,Online
247,3360,324.9,2019,Online
248,2952,54.48,2023,In-Store
249,730,206.58,2023,Online
250,4500,235.97,2021,In-Store
251,2556,232.13,2023,Online
252,1151,877.98,2023,Online
253,1736,238.01,2023,In-Store
254,1039,169.1,2024,Online
255,2913,120.75,2024,Online
256,4841,137.17,2021,In-Store
257,2541,102.13,2023,In-Store
258,4415,124.53,2022,Online
259,1243,148.83,2024,Online
260,773,178.43,2022,Online
261,1917,300.07,2023,In-Store
262,3413,113.45,2020,Online
263,2500,114.43,2020,Online
264,3441,224.37,2022,Online
265,3546,224.75,2022,In-Store
266,1214,133.06,2023,In-Store
267,2932,60.01,2021,Online
268,419,390.86,2022,In-Store
269,3782,279.82,2023,In-Store
270,4961,206.48,2022,Online
271,789,349.15,2024,Online
272,1872,40.91,2022,In-Store
273,4591,32.11,2023,In-Store
