order_id,customer_id,order_amount,order_date,channel
1,2057,9.11,2024-11-25,Online
2,2966,20.06,2025-08-02,In-Store
3,4769,31.22,2021-07-25,In-Store
4,613,13.15,2023-12-01,Online
5,1299,25.59,2023-05-21,Online
6,4585,11.66,2024-05-17,Online
7,2110,17.53,2022-07-23,In-Store
8,1353,22.46,2022-07-28,Online
9,4985,69.4,2024-04-21,Online
10,513,39.51,2025-04-20,Online
11,3041,15.49,2024-11-09,In-Store
12,3927,22.06,2024-12-06,Online
13,3920,20.77,2021-07-18,Online
14,2198,25.38,2024-12-21,In-Store
15,218,66.39,2022-06-17,In-Store
16,4194,7.62,2022-08-11,In-Store
17,3996,6.11,2024-05-19,In-Store
18,1165,33.86,2023-09-14,Online
19,1690,47.14,2025-10-27,Online
20,2560,46.54,2021-07-07,Online
21,566,20.35,2022-10-15,Online
22,4078,25.51,2025-01-01,In-Store
23,4610,21.94,2022-03-05,Online
24,1538,40.07,2024-11-08,Online
25,4619,36.34,2025-11-22,Online
26,3986,29.34,2025-03-26,Online
27,3635,75.2,2024-07-17,Online
28,4848,39.63,2021-03-21,In-Store
29,1615,13.46,2023-11-09,Online
30,4578,38.22,2025-08-15,In-Store
31,495,26.47,2024-08-25,In-Store
32,2378,51.22,2021-01-01,Online
33,2749,20.96,2023-05-21,Online
34,607,37.24,2022-12-03,Online
35,3681,36.65,2021-05-01,In-Store
36,2365,49.62,2024-04-25,In-Store
37,2264,18.07,2023-05-06,Online
38,2900,58.85,2021-09-19,Online
39,666,8.71,2025-02-20,Online
40,990,10.71,2024-02-28,Online
41,891,23.47,2023-06-03,In-Store
42,4756,63.22,2023-05-13,In-Store
43,3852,33.29,2024-07-27,Online
44,2642,5.2,2023-11-24,In-Store
45,3291,31.55,2022-02-15,In-Store
46,3239,21.24,2022-08-14,In-Store
47,1297,38.38,2022-05-17,Online
48,429,43.23,2024-03-30,In-Store
49,2764,29.55,2021-09-21,In-Store
50,1300,27.35,2021-04-09,Online
51,4356,45.3,2023-04-04,Online
52,1157,36.74,2022-02-08,Online
53,2852,31.24,2025-09-04,In-Store
54,2099,23.86,2022-09-10,Online
55,3704,21.12,2025-10-23,In-Store
56,4748,22.61,2022-05-21,Online
57,2052,28.8,2023-06-23,Online
58,221,22.49,2024-10-09,In-Store
59,3300,30.27,2022-04-20,In-Store
60,638,19.35,2024-03-02,Online
61,524,36.82,2022-06-27,Online
62,3301,14.24,2021-06-26,Online
63,515,23.51,2021-02-13,In-Store
64,637,25.8,2023-06-09,In-Store
65,2185,50.02,2025-11-22,Online
66,2247,17.57,2024-01-02,Online
67,4568,22.75,2023-01-01,In-Store
68,1371,58.74,2025-06-26,Online
69,1999,25.64,2024-07-19,In-Store
70,3537,41.38,2023-10-14,Online
71,4118,8.84,2024-02-18,Online
72,1732,25.02,2022-10-17,Online
73,3143,11.32,2024-07-27,Online
74,3116,17.78,2022-08-08,In-Store
75,1515,17.46,2025-07-02,Online
76,586,27.69,2021-01-03,In-Store
77,3408,26.96,2021-10-05,Online
78,1331,21.66,2022-09-10,In-Store
79,1583,32.07,2021-12-15,Online
80,2849,23.36,2025-06-21,In-Store
81,792,36.52,2023-11-28,In-Store
82,1188,15.57,2024-07-04,Online
83,2220,58.32,2023-11-26,Online
84,4379,35.25,2024-11-03,In-Store
85,3846,16.61,2021-10-09,Online
86,1581,18.27,2025-03-04,In-Store
87,1508,42.09,2023-04-29,Online
88,4943,30.48,2025-01-11,Online
