imdb_title_id,title,original_title,year,date_published,genre,duration,country,language_1,language_2,language_3,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,reviews_from_users
tt0035423,Kate & Leopold,Kate & Leopold,2001,01/03/2002,"Comedy, Fantasy, Romance",118,USA,English,French,,James Mangold,"Steven Rogers, James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",Meg Ryan,"Meg Ryan, Hugh Jackman",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,An English Duke from 1876 is inadvertedly,6.4,77852,48000000,47121859,76019048,341
tt0118589,Glitter,Glitter,2001,30/11/2001,"Drama, Music, Romance",104,USA,English,,,Vondie Curtis-Hall,"Cheryl L. West, Kate Lanier","Mariah Carey, Max Beesley, Da Brat, Tia Texada, Valarie Pettiford, Ann Magnuson, Terrence Howard, Dorian Harewood, Grant Nickalls, Eric Benét, Padma Lakshmi, Don Ackerman, Ed Sahely, Carmen Wong, James Allodi",Mariah Carey,"Mariah Carey, Max Beesley","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",A young singer dates a disc jockey,2.2,21298,22000000,4274407,5271666,319
tt0118694,In the Mood for Love,Fa yeung nin wah,2000,27/10/2000,"Drama, Romance",98,"Hong Kong, China",Cantonese,Shanghainese,French,Kar-Wai Wong,Kar-Wai Wong,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung, Rebecca Pan, Kelly Lai Chen, Man-Lei Chan, Kam-Wah Koo, Szu-Ying Chien, Paulyn Sun, Roy Cheung, Po-chun Chow, Hsien Yu",Maggie Cheung,"Maggie Cheung, Tony Chiu-Wai Leung","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Two neighbors, a woman and a man,",8.1,119171,,2738980,12854953,422
tt0120202,"Hollywood, Vermont",State and Main,2000,31/05/2002,"Comedy, Drama",105,"France, USA",English,Italian,,David Mamet,David Mamet,"Michael Higgins, Michael Bradshaw, Morris Lamore, Allen Soule, Clark Gregg, Rebecca Pidgeon, Ricky Jay, Julia Stiles, Matt Malloy, Charles Durning, Tony V., Tony Mamet, Jack Wallace, Michael James O'Boyle, Charlotte Potok",Michael Higgins,"Michael Higgins, Michael Bradshaw",A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,A movie crew invades a small town,6.7,20220,,6944471,9206279,175
tt0120263,Canzoni del secondo piano,Sånger från andra våningen,2000,06/10/2000,"Comedy, Drama",98,"Sweden, Norway, Denmark",Swedish,Russian,,Roy Andersson,Roy Andersson,"Lars Nordh, Stefan Larsson, Bengt C.W. Carlsson, Torbjörn Fahlström, Sten Andersson, Rolando Núñez, Lucio Vucina, Per Jörnelius, Peter Roth, Klas-Gösta Olsson, Nils-Åke Eriksson, Hanna Eriksson, Tommy Johansson, Sture Olsson, Fredrik Sjögren",Lars Nordh,"Lars Nordh, Stefan Larsson","Where are we humans going? A film poem inspired by the Peruvian poet César Vallejo. We meet people in the city. People trying to communicate, searching compassion and get the connection of small and large things.",Where are we humans going? A film,7.6,17188,,80334,80334,110
tt0120630,Galline in fuga,Chicken Run,2000,15/12/2000,"Animation, Adventure, Comedy",84,"UK, USA, France",English,,,"Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow",Phil Daniels,"Phil Daniels, Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",When a cockerel apparently flies,7,173987,45000000,106834564,224834564,393
tt0120667,I Fantastici 4,Fantastic Four,2005,16/09/2005,"Action, Adventure, Fantasy",106,"USA, Germany",English,,,Tim Story,"Mark Frost, Michael France","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater, Kerry Washington, Laurie Holden, David Parker, Kevin McNulty, Maria Menounos, Michael Kopsa, Andrew Airlie, Pascale Hutton, G. Michael Gray",Ioan Gruffudd,"Ioan Gruffudd, Jessica Alba","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",A group of astronauts gain superpowers,5.7,307944,100000000,154696080,333535934,1029
tt0120679,Frida,Frida,2002,17/01/2003,"Biography, Drama, Romance",123,"Mexico, USA, Canada",English,French,Russian,Julie Taymor,"Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas",Salma Hayek,"Salma Hayek, Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,12000000,25885000,56298474,297
tt0120681,La vera storia di Jack lo Squartatore,From Hell,2001,21/12/2001,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK",English,,,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page",Johnny Depp,"Johnny Depp, Heather Graham","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.","In Victorian-era London, a troubled",6.8,144714,35000000,31602566,74558115,556
tt0120737,Il Signore degli Anelli - La compagnia dell'Anello,The Lord of the Rings: The Fellowship of the Ring,2001,18/01/2002,"Action, Adventure, Drama",178,"New Zealand, USA",English,Sindarin,,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare",Alan Howard,"Alan Howard, Noel Appleby",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,A meek Hobbit from the Shire and,8.8,1619920,93000000,315544750,887934303,5392
