transaction_id,book_id,sale_type,date_sold,year_sold,month_sold,day_sold,sale_price,discount,final_price,country_sold,city_sold,hard_copy,paperback,soft_copy
1,81,ONLINE,2024-03-04,2024,3,4,21.09,1.05,20.04,Germany,Munich,False,True,False
2,28,INSTORE,2025-01-24,2025,1,24,53.2,0.0,53.2,USA,Chicago,True,False,False
3,77,ONLINE,2025-07-05,2025,7,5,29.42,0.0,29.42,Germany,Munich,False,True,False
4,15,INSTORE,2024-01-30,2024,1,30,20.85,3.13,17.72,Germany,Munich,False,True,False
5,80,ONLINE,2024-05-10,2024,5,10,20.48,2.05,18.43,Canada,Vancouver,False,True,False
6,61,INSTORE,2025-10-20,2025,10,20,28.98,5.8,23.18,USA,New York,True,False,False
7,18,INSTORE,2024-09-23,2024,9,23,26.97,0.0,26.97,Canada,Toronto,False,True,False
8,52,INSTORE,2025-01-23,2025,1,23,24.19,0.0,24.19,UK,Manchester,False,True,False
9,83,ONLINE,2025-07-06,2025,7,6,18.97,0.0,18.97,Germany,Berlin,False,True,False
10,66,ONLINE,2024-09-10,2024,9,10,32.19,3.22,28.97,USA,New York,True,False,False
11,25,ONLINE,2025-04-29,2025,4,29,12.98,0.0,12.98,Canada,Toronto,False,False,True
12,47,ONLINE,2024-06-20,2024,6,20,36.98,0.0,36.98,UK,Manchester,True,False,False
13,41,INSTORE,2024-11-15,2024,11,15,20.03,3.0,17.03,Australia,Sydney,False,True,False
14,89,ONLINE,2025-12-08,2025,12,8,31.79,4.77,27.02,USA,Chicago,True,False,False
15,16,ONLINE,2025-08-02,2025,8,2,38.21,3.82,34.39,Australia,Sydney,False,True,False
16,26,INSTORE,2025-06-02,2025,6,2,32.26,6.45,25.81,UK,London,True,False,False
17,58,INSTORE,2025-03-19,2025,3,19,13.27,2.65,10.62,Germany,Berlin,False,False,True
18,26,INSTORE,2024-06-29,2024,6,29,20.19,4.04,16.15,Canada,Vancouver,False,False,True
19,65,INSTORE,2025-03-22,2025,3,22,25.5,5.1,20.4,Germany,Munich,False,True,False
20,12,ONLINE,2025-04-06,2025,4,6,17.89,1.79,16.1,USA,San Francisco,False,True,False
21,57,INSTORE,2025-05-21,2025,5,21,38.72,1.94,36.78,UK,London,True,False,False
22,66,INSTORE,2024-12-14,2024,12,14,18.0,2.7,15.3,UK,Manchester,False,False,True
23,67,ONLINE,2025-06-13,2025,6,13,31.15,0.0,31.15,Australia,Sydney,True,False,False
24,27,INSTORE,2024-09-03,2024,9,3,20.37,3.06,17.31,Germany,Hamburg,False,False,True
25,58,INSTORE,2024-04-05,2024,4,5,28.3,1.42,26.88,Germany,Berlin,True,False,False
26,15,INSTORE,2025-08-18,2025,8,18,17.74,1.77,15.97,UK,Bristol,False,True,False
27,3,INSTORE,2025-07-17,2025,7,17,18.97,2.85,16.12,UK,Manchester,False,True,False
28,87,ONLINE,2024-09-14,2024,9,14,31.83,4.77,27.06,UK,Manchester,True,False,False
29,7,ONLINE,2025-07-02,2025,7,2,24.68,0.0,24.68,UK,London,True,False,False
30,78,INSTORE,2025-08-26,2025,8,26,38.86,7.77,31.09,UK,Bristol,True,False,False
31,68,ONLINE,2025-01-04,2025,1,4,24.68,0.0,24.68,UK,London,False,True,False
32,28,ONLINE,2024-02-16,2024,2,16,42.08,0.0,42.08,Canada,Vancouver,False,False,True
33,88,INSTORE,2024-01-13,2024,1,13,21.47,1.07,20.4,Germany,Berlin,False,True,False
34,1,INSTORE,2024-02-22,2024,2,22,25.17,0.0,25.17,UK,London,False,True,False
35,66,ONLINE,2024-03-16,2024,3,16,32.81,0.0,32.81,Germany,Munich,True,False,False
36,4,ONLINE,2024-09-11,2024,9,11,35.31,7.06,28.25,UK,London,False,False,True
37,29,ONLINE,2025-09-25,2025,9,25,18.46,0.92,17.54,Australia,Brisbane,False,False,True
