rating_id,movie_id,user_id,rating,rating_date
1,5,119,8,2023-12-01
2,63,112,9,2023-10-05
3,32,128,5,2023-09-01
4,30,132,7,2022-07-15
5,29,122,10,2023-12-24
6,9,137,10,2022-07-29
7,47,102,5,2022-08-06
8,42,126,2,2022-03-10
9,94,121,10,2023-01-03
10,93,107,8,2023-10-06
11,11,135,2,2022-03-12
12,94,132,5,2022-11-19
13,89,135,3,2022-12-30
14,19,137,8,2023-09-08
15,80,101,3,2022-09-04
16,1,127,2,2023-04-16
17,63,128,2,2023-03-21
18,41,115,7,2023-01-30
19,65,110,8,2022-01-07
20,99,111,2,2023-04-01
21,61,125,8,2022-11-28
22,31,119,3,2023-02-23
23,45,115,4,2023-06-17
24,43,138,3,2023-09-18
25,46,134,6,2023-06-25
26,85,120,8,2023-09-09
27,13,119,6,2023-01-30
28,50,126,6,2023-06-05
29,21,117,9,2023-10-07
30,65,131,10,2022-07-07
31,93,138,6,2023-02-13
32,47,115,8,2022-03-09
33,92,138,4,2023-03-23
34,57,105,8,2023-08-01
35,3,103,4,2022-06-11
36,35,108,9,2023-01-25
37,64,101,5,2022-02-21
38,76,111,7,2023-04-14
39,54,128,2,2022-03-16
40,86,109,2,2023-09-06
41,2,131,3,2022-03-27
42,4,133,10,2022-09-23
43,11,137,10,2022-06-25
44,63,127,9,2022-10-29
45,39,121,5,2023-02-03
46,27,108,9,2023-10-30
47,90,129,7,2022-05-03
48,50,138,4,2023-06-18
49,86,105,5,2022-09-11
50,34,129,5,2023-05-31
51,89,124,2,2023-11-16
52,83,132,6,2023-03-21
53,53,129,10,2022-08-30
54,88,140,4,2023-11-21
55,65,127,3,2023-11-03
56,63,125,5,2023-01-20
57,34,138,5,2022-10-12
58,63,136,4,2022-05-06
59,77,132,3,2022-05-06
60,45,116,2,2023-04-26
61,13,140,8,2023-12-05
62,10,111,10,2022-02-21
63,48,139,2,2022-07-22
64,92,138,9,2022-04-11
65,14,110,7,2022-08-22
66,18,136,3,2023-06-04
67,21,140,3,2023-03-15
68,16,115,9,2023-03-09
69,89,106,10,2022-06-30
70,91,102,7,2023-12-19
71,76,122,5,2023-05-05
72,10,137,2,2022-04-15
73,31,137,6,2022-01-17
74,56,119,5,2022-05-18
75,43,103,6,2022-04-26
76,33,106,10,2023-06-08
77,82,122,8,2023-11-30
78,23,114,6,2022-09-01
79,14,107,8,2023-05-26
