customer_id,country,age,gender,signup_year
1,France,50,F,2022
2,USA,24,M,2019
3,France,38,M,2024
4,Germany,29,F,2021
5,USA,19,F,2025
6,Mexico,38,F,2023
7,France,27,M,2024
8,France,78,M,2025
9,USA,42,M,2020
10,Canada,49,F,2023
11,USA,27,F,2017
12,Mexico,23,M,2018
13,UK,25,F,2021
14,France,70,M,2023
15,Canada,70,F,2024
16,USA,39,F,2020
17,UK,43,M,2024
18,USA,72,M,2020
19,France,58,M,2017
20,UK,48,F,2018
21,Germany,19,M,2023
22,USA,26,M,2022
23,Mexico,41,M,2021
24,Mexico,43,M,2017
25,France,39,M,2023
26,USA,21,M,2024
27,Canada,28,F,2018
28,USA,26,F,2024
29,USA,65,M,2023
30,Germany,66,F,2022
31,Germany,36,F,2017
32,Mexico,29,M,2025
33,USA,65,F,2022
34,USA,58,M,2022
35,Canada,24,M,2024
36,USA,70,F,2024
37,USA,65,M,2024
38,Canada,44,F,2024
39,USA,28,M,2019
40,Germany,38,M,2024
41,USA,25,F,2021
42,France,65,F,2024
43,Germany,70,F,2021
44,USA,64,F,2018
45,France,44,F,2022
46,France,26,Nonbinary,2024
47,USA,22,F,2022
48,USA,44,M,2024
49,Germany,67,F,2017
50,USA,31,Nonbinary,2019
51,USA,29,F,2023
52,USA,68,F,2021
53,France,35,M,2023
54,Germany,56,F,2025
55,Germany,22,M,2023
56,France,53,F,2022
57,Canada,68,M,2022
58,UK,38,M,2025
59,USA,25,M,2023
60,USA,52,F,2024
61,Germany,23,F,2021
62,Canada,27,F,2024
63,UK,40,F,2019
64,France,78,F,2024
65,UK,39,M,2025
66,UK,23,M,2025
67,UK,68,M,2019
68,USA,27,F,2024
69,USA,64,F,2018
70,USA,25,M,2022
71,USA,59,F,2023
72,USA,24,F,2022
73,France,68,F,2021
74,USA,27,M,2023
75,USA,25,Nonbinary,2023
76,USA,63,F,2023
77,USA,56,M,2022
78,Germany,31,F,2023
79,UK,47,F,2022
80,France,36,M,2018
81,Germany,40,F,2022
82,USA,26,M,2024
83,France,65,F,2021
84,USA,68,F,2019
85,USA,25,M,2025
86,USA,38,F,2024
87,Germany,28,M,2023
88,Canada,28,F,2024
89,USA,42,M,2025
90,Canada,22,F,2023
91,USA,50,F,2020
92,Germany,25,M,2023
93,Canada,29,F,2025
94,USA,22,F,2023
95,USA,28,Nonbinary,2017
96,UK,22,M,2025
97,USA,40,M,2024
98,USA,70,M,2022
99,USA,39,M,2025
100,Mexico,70,M,2024
101,Mexico,36,M,2024
102,Germany,51,F,2025
103,USA,38,F,2017
104,Mexico,25,M,2024
105,France,38,M,2021
106,Germany,39,F,2024
107,Canada,28,F,2024
108,USA,31,F,2024
109,USA,29,M,2024
110,Mexico,47,M,2024
111,Canada,46,F,2021
112,USA,43,M,2022
113,USA,35,M,2019
114,UK,23,M,2024
115,USA,39,F,2023
116,France,50,M,2023
117,Germany,41,M,2020
118,Germany,21,M,2023
119,USA,20,F,2022
120,UK,47,M,2025
121,UK,31,M,2024
122,UK,24,F,2022
123,USA,47,F,2024
124,USA,43,M,2019
125,USA,62,M,2018
126,Canada,68,F,2023
127,USA,29,F,2024
128,USA,37,F,2018
129,USA,39,M,2020
130,UK,74,Nonbinary,2022
131,USA,65,F,2018
132,Mexico,23,F,2022
133,UK,42,F,2022
134,USA,44,F,2025
135,UK,23,M,2021
136,USA,60,M,2019
137,Mexico,31,F,2017
138,Canada,31,F,2019
139,France,44,F,2024
140,USA,64,M,2022
141,Canada,73,M,2020
142,Canada,62,M,2025
143,Mexico,25,F,2024
144,UK,59,M,2019
145,Canada,30,F,2020
146,USA,32,M,2024
147,USA,32,M,2023
148,Canada,43,M,2025
149,USA,22,M,2018
150,USA,20,F,2024
151,France,46,M,2018
152,Mexico,61,F,2021
153,USA,61,F,2024
154,UK,41,F,2023
155,USA,18,F,2017
156,Germany,22,F,2020
157,USA,53,F,2024
158,UK,41,M,2019
159,Germany,65,F,2021
160,France,67,F,2020
161,USA,18,Nonbinary,2019
162,Mexico,25,M,2024
163,USA,22,F,2018
164,USA,38,F,2022
165,UK,35,M,2023
166,USA,40,M,2018
167,France,24,F,2023
168,France,34,M,2021
169,USA,30,F,2024
170,Mexico,24,F,2024
171,USA,18,M,2024
172,Canada,27,M,2022
173,USA,45,M,2024
174,Mexico,30,F,2023
175,USA,33,F,2021
176,USA,33,F,2018
177,USA,35,F,2018
178,Mexico,43,F,2020
179,Mexico,36,M,2021
180,Germany,29,M,2025
181,Mexico,20,M,2025
182,Mexico,46,F,2019
183,Canada,52,F,2025
184,USA,25,M,2023
185,France,21,F,2022
186,Germany,43,M,2025
187,USA,39,F,2023
188,USA,42,M,2023
189,Germany,47,M,2020
190,USA,24,M,2020
191,Mexico,34,M,2025
192,USA,63,M,2020
193,USA,27,F,2017
194,France,49,M,2020
195,USA,46,M,2022
196,USA,49,Nonbinary,2021
197,UK,27,F,2025
198,France,72,F,2022
199,USA,62,M,2025
200,USA,24,M,2023
201,France,22,F,2022
202,Mexico,38,F,2019
203,Canada,36,F,2021
204,USA,25,F,2024
205,USA,33,F,2024
206,USA,22,F,2022
207,USA,24,F,2025
208,Germany,20,M,2024
209,USA,39,F,2019
210,Canada,42,F,2023
211,Germany,24,F,2024
212,UK,29,F,2024
213,USA,25,M,2018
214,France,64,M,2020
215,Germany,44,F,2022
216,Germany,70,F,2020
217,USA,34,F,2018
218,USA,31,F,2023
219,Mexico,49,F,2022
220,USA,18,F,2019
221,USA,22,F,2023
222,Canada,54,M,2018
223,Germany,66,F,2021
224,Mexico,19,F,2024
225,USA,43,M,2025
226,Mexico,24,F,2020
227,USA,23,F,2024
228,UK,41,F,2025
229,UK,40,F,2023
230,USA,66,F,2025
231,USA,27,M,2020
232,USA,28,M,2018
233,Mexico,42,F,2024
234,UK,67,F,2022
235,Mexico,30,M,2021
236,France,32,M,2018
237,Canada,74,F,2018
238,France,28,F,2018
239,USA,38,F,2020
240,USA,39,M,2025
241,France,18,F,2021
242,France,39,F,2024
243,USA,46,F,2017
244,Canada,36,F,2021
245,UK,73,F,2025
246,France,43,M,2020
247,UK,57,M,2021
248,USA,23,F,2024
249,USA,45,F,2019
250,USA,27,M,2018
251,UK,24,F,2025
252,France,43,F,2022
253,Canada,45,F,2023
254,USA,36,M,2019
255,USA,30,M,2020
256,Germany,52,M,2022
257,France,62,M,2023
258,USA,37,F,2021
259,USA,36,F,2025
