order_id,customer_id,date_id,order_date,channel,order_amount,tax
1,2057,20241125,2024-11-25,Online,9.11,0.64
2,2966,20250802,2025-08-02,In-Store,20.06,1.4
3,4769,20210725,2021-07-25,In-Store,31.22,2.19
4,613,20231201,2023-12-01,Online,13.15,0.92
5,1299,20230521,2023-05-21,Online,25.59,1.79
6,4585,20240517,2024-05-17,Online,11.66,0.82
7,2110,20220723,2022-07-23,In-Store,17.53,1.23
8,1353,20220728,2022-07-28,Online,22.46,1.57
9,4985,20240421,2024-04-21,Online,69.4,4.86
10,513,20250420,2025-04-20,Online,39.51,2.77
11,3041,20241109,2024-11-09,In-Store,15.49,1.08
12,3927,20241206,2024-12-06,Online,22.06,1.54
13,3920,20210718,2021-07-18,Online,20.77,1.45
14,2198,20241221,2024-12-21,In-Store,25.38,1.78
15,218,20220617,2022-06-17,In-Store,66.39,4.65
16,4194,20220811,2022-08-11,In-Store,7.62,0.53
17,3996,20240519,2024-05-19,In-Store,6.11,0.43
18,1165,20230914,2023-09-14,Online,33.86,2.37
19,1690,20251027,2025-10-27,Online,47.14,3.3
20,2560,20210707,2021-07-07,Online,46.54,3.26
21,566,20221015,2022-10-15,Online,20.35,1.42
22,4078,20250101,2025-01-01,In-Store,25.51,1.79
23,4610,20220305,2022-03-05,Online,21.94,1.54
24,1538,20241108,2024-11-08,Online,40.07,2.8
25,4619,20251122,2025-11-22,Online,36.34,2.54
26,3986,20250326,2025-03-26,Online,29.34,2.05
27,3635,20240717,2024-07-17,Online,75.2,5.26
28,4848,20210321,2021-03-21,In-Store,39.63,2.77
29,1615,20231109,2023-11-09,Online,13.46,0.94
30,4578,20250815,2025-08-15,In-Store,38.22,2.68
31,495,20240825,2024-08-25,In-Store,26.47,1.85
32,2378,20210101,2021-01-01,Online,51.22,3.59
33,2749,20230521,2023-05-21,Online,20.96,1.47
34,607,20221203,2022-12-03,Online,37.24,2.61
35,3681,20210501,2021-05-01,In-Store,36.65,2.57
36,2365,20240425,2024-04-25,In-Store,49.62,3.47
37,2264,20230506,2023-05-06,Online,18.07,1.26
38,2900,20210919,2021-09-19,Online,58.85,4.12
39,666,20250220,2025-02-20,Online,8.71,0.61
40,990,20240228,2024-02-28,Online,10.71,0.75
41,891,20230603,2023-06-03,In-Store,23.47,1.64
42,4756,20230513,2023-05-13,In-Store,63.22,4.43
43,3852,20240727,2024-07-27,Online,33.29,2.33
44,2642,20231124,2023-11-24,In-Store,5.2,0.36
45,3291,20220215,2022-02-15,In-Store,31.55,2.21
46,3239,20220814,2022-08-14,In-Store,21.24,1.49
47,1297,20220517,2022-05-17,Online,38.38,2.69
48,429,20240330,2024-03-30,In-Store,43.23,3.03
49,2764,20210921,2021-09-21,In-Store,29.55,2.07
50,1300,20210409,2021-04-09,Online,27.35,1.91
51,4356,20230404,2023-04-04,Online,45.3,3.17
52,1157,20220208,2022-02-08,Online,36.74,2.57
53,2852,20250904,2025-09-04,In-Store,31.24,2.19
54,2099,20220910,2022-09-10,Online,23.86,1.67
55,3704,20251023,2025-10-23,In-Store,21.12,1.48
56,4748,20220521,2022-05-21,Online,22.61,1.58
57,2052,20230623,2023-06-23,Online,28.8,2.02
58,221,20241009,2024-10-09,In-Store,22.49,1.57
59,3300,20220420,2022-04-20,In-Store,30.27,2.12
60,638,20240302,2024-03-02,Online,19.35,1.35
61,524,20220627,2022-06-27,Online,36.82,2.58
62,3301,20210626,2021-06-26,Online,14.24,1.0
63,515,20210213,2021-02-13,In-Store,23.51,1.65
64,637,20230609,2023-06-09,In-Store,25.8,1.81
65,2185,20251122,2025-11-22,Online,50.02,3.5
66,2247,20240102,2024-01-02,Online,17.57,1.23
67,4568,20230101,2023-01-01,In-Store,22.75,1.59
68,1371,20250626,2025-06-26,Online,58.74,4.11
69,1999,20240719,2024-07-19,In-Store,25.64,1.79
70,3537,20231014,2023-10-14,Online,41.38,2.9
71,4118,20240218,2024-02-18,Online,8.84,0.62
72,1732,20221017,2022-10-17,Online,25.02,1.75
73,3143,20240727,2024-07-27,Online,11.32,0.79
74,3116,20220808,2022-08-08,In-Store,17.78,1.24
75,1515,20250702,2025-07-02,Online,17.46,1.22
76,586,20210103,2021-01-03,In-Store,27.69,1.94
77,3408,20211005,2021-10-05,Online,26.96,1.89
78,1331,20220910,2022-09-10,In-Store,21.66,1.52
79,1583,20211215,2021-12-15,Online,32.07,2.24
80,2849,20250621,2025-06-21,In-Store,23.36,1.64
81,792,20231128,2023-11-28,In-Store,36.52,2.56
82,1188,20240704,2024-07-04,Online,15.57,1.09
83,2220,20231126,2023-11-26,Online,58.32,4.08
84,4379,20241103,2024-11-03,In-Store,35.25,2.47
85,3846,20211009,2021-10-09,Online,16.61,1.16
86,1581,20250304,2025-03-04,In-Store,18.27,1.28
87,1508,20230429,2023-04-29,Online,42.09,2.95
88,4943,20250111,2025-01-11,Online,30.48,2.13
89,3257,20250206,2025-02-06,Online,52.35,3.66
90,3426,20210920,2021-09-20,Online,35.15,2.46
91,277,20220115,2022-01-15,In-Store,38.5,2.7
92,526,20250501,2025-05-01,Online,34.85,2.44
93,1468,20240519,2024-05-19,Online,58.84,4.12
94,4200,20220721,2022-07-21,Online,31.96,2.24
95,4550,20250112,2025-01-12,Online,67.65,4.74
96,946,20251213,2025-12-13,In-Store,48.64,3.4
97,3571,20250308,2025-03-08,In-Store,21.24,1.49
98,4358,20240415,2024-04-15,In-Store,9.68,0.68
99,4381,20240814,2024-08-14,Online,23.98,1.68
100,2277,20210321,2021-03-21,Online,14.53,1.02
101,1281,20230712,2023-07-12,In-Store,35.08,2.46
102,4778,20230729,2023-07-29,Online,14.9,1.04
103,1374,20241228,2024-12-28,Online,24.83,1.74
104,1248,20240118,2024-01-18,Online,14.75,1.03
105,1019,20220620,2022-06-20,Online,26.86,1.88
106,2660,20231104,2023-11-04,Online,30.0,2.1
107,535,20250620,2025-06-20,Online,14.39,1.01
108,2840,20240720,2024-07-20,In-Store,17.94,1.26
109,4716,20240404,2024-04-04,Online,9.5,0.66
110,2520,20250222,2025-02-22,Online,30.39,2.13
111,4829,20230127,2023-01-27,Online,74.4,5.21
112,4520,20220625,2022-06-25,Online,38.85,2.72
113,3946,20251226,2025-12-26,Online,23.01,1.61
114,3025,20241018,2024-10-18,In-Store,64.9,4.54
115,4389,20250717,2025-07-17,In-Store,23.93,1.68
116,2764,20251213,2025-12-13,In-Store,20.73,1.45
117,1025,20230426,2023-04-26,In-Store,14.83,1.04
118,4626,20221114,2022-11-14,Online,27.85,1.95
119,2505,20221113,2022-11-13,Online,23.93,1.68
120,4533,20221221,2022-12-21,Online,17.01,1.19
121,1964,20211106,2021-11-06,In-Store,36.21,2.53
122,1673,20240406,2024-04-06,In-Store,59.77,4.18
123,3813,20230310,2023-03-10,Online,23.58,1.65
124,3160,20240602,2024-06-02,In-Store,19.85,1.39
125,2187,20251027,2025-10-27,Online,27.94,1.96
126,4379,20230722,2023-07-22,In-Store,23.29,1.63
127,2582,20230714,2023-07-14,In-Store,21.5,1.5
128,70,20220412,2022-04-12,Online,28.85,2.02
129,3466,20240511,2024-05-11,Online,40.01,2.8
130,317,20210816,2021-08-16,In-Store,25.48,1.78
131,2394,20220709,2022-07-09,Online,14.93,1.05
132,953,20231226,2023-12-26,Online,38.39,2.69
